Model,MAE,RMSE,MAPE,Store_id,Product_id,Forecast_Frequency,Forecast_Horizon,Run_Timestamp
Linear Regression,65.59,74.76,13.53,S002,P006,weekly,8,2026-06-05 05:22:55.630437
Random Forest,24.46,30.96,4.51,S002,P006,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,65.89,73.69,14.02,S002,P006,weekly,8,2026-06-05 05:22:55.630437
Naive,108.62,128.13,23.53,S002,P007,weekly,8,2026-06-05 05:22:55.630437
Moving Average,98.88,112.02,21.03,S002,P007,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,27.75,40.7,5.2,S002,P007,weekly,8,2026-06-05 05:22:55.630437
Trend,118.46,142.69,25.87,S002,P007,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,74.45,78.19,14.55,S002,P007,weekly,8,2026-06-05 05:22:55.630437
Random Forest,34.01,43.45,6.08,S002,P007,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,68.01,74.71,14.17,S002,P007,weekly,8,2026-06-05 05:22:55.630437
Naive,128.88,160.42,21.0,S002,P008,weekly,8,2026-06-05 05:22:55.630437
Moving Average,109.06,138.13,17.79,S002,P008,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,54.5,69.48,7.89,S002,P008,weekly,8,2026-06-05 05:22:55.630437
Trend,140.23,173.0,22.8,S002,P008,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,82.74,88.87,12.37,S002,P008,weekly,8,2026-06-05 05:22:55.630437
Random Forest,36.02,44.73,5.2,S002,P008,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,66.79,86.82,10.87,S002,P008,weekly,8,2026-06-05 05:22:55.630437
Naive,100.38,119.13,25.26,S002,P009,weekly,8,2026-06-05 05:22:55.630437
Moving Average,82.38,97.3,20.25,S002,P009,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,31.38,37.78,6.99,S002,P009,weekly,8,2026-06-05 05:22:55.630437
Trend,107.86,129.48,27.29,S002,P009,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,69.55,75.79,15.98,S002,P009,weekly,8,2026-06-05 05:22:55.630437
Random Forest,24.84,34.54,4.97,S002,P009,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,59.21,68.29,14.37,S002,P009,weekly,8,2026-06-05 05:22:55.630437
Naive,130.0,149.41,21.89,S002,P010,weekly,8,2026-06-05 05:22:55.630437
Moving Average,115.69,129.43,19.12,S002,P010,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,31.38,40.66,5.11,S002,P010,weekly,8,2026-06-05 05:22:55.630437
Trend,147.17,174.47,25.09,S002,P010,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,87.26,92.46,13.46,S002,P010,weekly,8,2026-06-05 05:22:55.630437
Random Forest,39.52,46.14,5.91,S002,P010,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,74.52,82.66,12.21,S002,P010,weekly,8,2026-06-05 05:22:55.630437
Naive,34.38,41.72,21.57,S003,P001,weekly,8,2026-06-05 05:22:55.630437
Moving Average,24.25,31.37,15.47,S003,P001,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,11.38,12.69,6.15,S003,P001,weekly,8,2026-06-05 05:22:55.630437
Trend,34.55,42.2,21.71,S003,P001,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,16.6,21.23,10.06,S003,P001,weekly,8,2026-06-05 05:22:55.630437
Random Forest,10.25,11.71,6.2,S003,P001,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,15.59,21.03,10.04,S003,P001,weekly,8,2026-06-05 05:22:55.630437
Naive,75.75,89.65,18.19,S003,P002,weekly,8,2026-06-05 05:22:55.630437
Moving Average,71.0,78.71,16.62,S003,P002,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,30.38,35.23,6.52,S003,P002,weekly,8,2026-06-05 05:22:55.630437
Trend,99.35,121.44,24.09,S003,P002,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,56.32,60.21,12.61,S003,P002,weekly,8,2026-06-05 05:22:55.630437
Random Forest,28.62,32.91,5.87,S003,P002,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,49.22,54.92,11.51,S003,P002,weekly,8,2026-06-05 05:22:55.630437
Naive,50.88,61.19,19.38,S003,P003,weekly,8,2026-06-05 05:22:55.630437
Moving Average,46.5,51.72,17.13,S003,P003,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,26.38,29.3,9.04,S003,P003,weekly,8,2026-06-05 05:22:55.630437
Trend,58.99,72.7,22.71,S003,P003,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,35.24,40.07,12.23,S003,P003,weekly,8,2026-06-05 05:22:55.630437
Random Forest,24.04,27.31,7.85,S003,P003,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,32.28,37.52,11.88,S003,P003,weekly,8,2026-06-05 05:22:55.630437
Naive,29.38,35.65,19.12,S003,P004,weekly,8,2026-06-05 05:22:55.630437
Moving Average,31.56,38.18,20.68,S003,P004,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,14.88,16.18,9.05,S003,P004,weekly,8,2026-06-05 05:22:55.630437
Trend,43.3,49.68,28.32,S003,P004,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,21.19,25.51,13.13,S003,P004,weekly,8,2026-06-05 05:22:55.630437
Random Forest,11.22,14.98,6.29,S003,P004,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,20.05,25.17,13.03,S003,P004,weekly,8,2026-06-05 05:22:55.630437
Naive,17.0,18.05,11.41,S003,P005,weekly,8,2026-06-05 05:22:55.630437
Moving Average,17.25,22.53,12.61,S003,P005,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,24.75,27.78,16.28,S003,P005,weekly,8,2026-06-05 05:22:55.630437
Trend,24.26,30.52,17.64,S003,P005,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,13.5,14.77,8.92,S003,P005,weekly,8,2026-06-05 05:22:55.630437
Random Forest,13.72,15.34,9.27,S003,P005,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,8.67,10.84,6.0,S003,P005,weekly,8,2026-06-05 05:22:55.630437
Naive,94.25,112.5,22.87,S003,P006,weekly,8,2026-06-05 05:22:55.630437
Moving Average,78.69,90.96,18.73,S003,P006,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,35.75,47.78,7.84,S003,P006,weekly,8,2026-06-05 05:22:55.630437
Trend,108.46,128.36,26.3,S003,P006,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,60.27,65.33,13.59,S003,P006,weekly,8,2026-06-05 05:22:55.630437
Random Forest,28.11,35.16,6.0,S003,P006,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,52.99,59.74,12.42,S003,P006,weekly,8,2026-06-05 05:22:55.630437
Naive,85.38,93.75,19.86,S003,P007,weekly,8,2026-06-05 05:22:55.630437
Moving Average,83.12,88.91,19.09,S003,P007,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,27.0,31.82,5.85,S003,P007,weekly,8,2026-06-05 05:22:55.630437
Trend,96.54,121.4,23.49,S003,P007,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,64.57,67.1,13.88,S003,P007,weekly,8,2026-06-05 05:22:55.630437
Random Forest,32.81,38.87,6.55,S003,P007,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,55.43,57.74,12.5,S003,P007,weekly,8,2026-06-05 05:22:55.630437
Naive,115.75,142.62,21.82,S003,P008,weekly,8,2026-06-05 05:22:55.630437
Moving Average,108.31,124.67,19.86,S003,P008,weekly,8,2026-06-05 05:22:55.630437
